,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
0,KHODJAVAND,000015,9284104,PROFESSOR AZIZ ALIYEV,4JLZ,Baku,Azerbaijan,KM(*) L3 [1] R1 AUT1 oil tanker(ESP),,Oil tanker,26/08/2003,Russia,05004,,,5143 MK-1969,1987 MK-1969,7950.000 t.,10770 t.,141.00 m.,141.00 m.,134.86 m.,16.84 m.,7.40 m.,5.09 m.,11.0,Diesel,Built ME: 2003 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1320 Mark ME: 8L 20/27,,2 - Fixed pitched solid propeller,4,3* 290 1* 100,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,,7* 8227,,1,10,0,0,0,,,,249,"Diesel oil, Heavy oil, Motor oil",3051 m3,ПТПГ,883,Cat2,46.0,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:","""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:",,,"""Azerbaijan Caspian Shipping"" CJSC  Address: Heydar Aliev Avenue, 152; AZ 1029, Baku City, Azerbaigan IMO: 0555540 Email: nurmahammad.talibov@asco.az; mahir.isgandarov@asco.az; baxtiyar.rahimov@asco.az; orkhan.vahabov@asco.az Company Website:"
1,ANABAR,000023,9194012,ЛАГОРТА,UBCW,Bolshoy port of St.-Petersburg,Russia,"KM(*) Arc5 (at d &lt= 9,0 m) Arc4 (at d &lt= 9,8 m) [1] AUT1 oil tanker(ESP)",,Oil tanker,09/10/2002,Russia,02734,,,13815 MK-1969,6436 MK-1969,19800.000 t.,27584 t.,157.42 m.,157.42 m.,147.20 m.,24.50 m.,13.40 m.,9.80 m.,15.4,Diesel,"Built ME: 2001 Country Construction: Russia The company has built ME: BRYANSK ENGINEERING WORKS, JSC The number and power of ME: 1*8580 Mark ME: 6S50MC-C",,1 - Controllable pitch propeller,4,3* 1000 1* 215,,,,,"Automatic identification system Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,16* 23081,,1,10,0,0,0,,,1*5.0 1*3.2,1030,"Diesel oil, Heavy oil",8419 m3,ПТПБ,1865,Cat3,58.0,"Severnaya transportnaya kompaniya LLC  Address: Russia, 125367 Moscow, Polesskiy pr-zd, d. 16, str. 1, et. 3, pom. I, komn. 12, of. 328 IMO: 6069715 Email: office@ntranscom.ru Company Website:","Severnaya transportnaya kompaniya LLC  Address: Russia, 125367 Moscow, Polesskiy pr-zd, d. 16, str. 1, et. 3, pom. I, komn. 12, of. 328 IMO: 6069715 Email: office@ntranscom.ru Company Website:",,"Severnaya transportnaya kompaniya LLC  Address: Russia, 125367 Moscow, Polesskiy pr-zd, d. 16, str. 1, et. 3, pom. I, komn. 12, of. 328 IMO: 6069715 Email: office@ntranscom.ru Company Website:",
2,WAGENBORG 101,000049,,WAGENBORG 101,,Aktau,Kazakhstan,KE*,,Barge/Icebreaking,12/10/2000,Germany,00690,,,1238 MK-1969,493 MK-1969,1800.000 t.,2732 t.,70.20 m.,70.20 m.,66.34 m.,16.40 m.,4.10 m.,2.90 m.,0.0,Non-propel,,,,0,2* 150 1* 33,,,,,,2*900,,4* 951,,1,6,0,0,0,2 - 12.0*9.0,,1*10.0,11,Diesel oil,2188 m3,,550,Wire,36.0,"Novi Holding B.V.  Address: Marktstraat 10, 9934 CK Delfzijl, The Netherlands IMO: Email: Company Website:","""GSR Phoenix LLP""  Address: Respublika Kazakhstan, 130502, selo Bautino, ulitsa S.Zhangabyluly, stroenie №28 IMO: 6076399 Email: info@gsrllp.com Company Website: www.gsrllp.com","""GSR Phoenix LLP""  Address: Respublika Kazakhstan, 130502, selo Bautino, ulitsa S.Zhangabyluly, stroenie №28 IMO: 6076399 Email: info@gsrllp.com Company Website: www.gsrllp.com",,
3,AKHILL,000087,9190444,,UFCX,Tuapse,Russia,(KM)* R1 FF3WS tug,,Tug,09/10/2000,The Netherlands,7942,,,313 MK-1969,93 MK-1969,245.000 t.,664 t.,30.82 m.,-,28.30 m.,10.20 m.,4.80 m.,3.75 m.,13.2,Diesel,Built ME: 2000 Country Construction: United States of America The company has built ME: The number and power of ME: 2*1686 Mark ME: CATERPILLAR,,2 - Swingning propeller unit,5,2* 85,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,115,Diesel oil,435 m3,,125,Cat2,19.0,"""TUAPSE COMMERCIAL SEA PORT"", JOINT-STOCK COMPANY  Address: Russia, 352800 Krasnodarskiy kr., Tuapse, Morskoy b-r, d. 2 IMO: 1683638 Email: port.tuapse@tmtp.ru Company Website:",,,"""TUAPSE COMMERCIAL SEA PORT"", JOINT-STOCK COMPANY  Address: Russia, 352800 Krasnodarskiy kr., Tuapse, Morskoy b-r, d. 2 IMO: 1683638 Email: port.tuapse@tmtp.ru Company Website:",
4,SIBIR,000091,8974350,,UAHM,Petropavlovsk-Kamchatskiy,Russia,KM* Ice1 fishing vessel,,Fishing,19/01/2001,China,2000-1202,,,196 MK-1969,58 MK-1969,87.000 t.,303 t.,33.20 m.,33.20 m.,28.00 m.,7.00 m.,3.40 m.,2.60 m.,10.5,Diesel,Built ME: 2018 Country Construction: China The company has built ME: The number and power of ME: 1*447 Mark ME: K 19-M,,1 - Fixed pitched solid propeller,4,1* 250 1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",1*105,,,,1,6,0,0,0,1 - 2.0*2.0,,,49,,15 m3,,120,Cat1,19.0,"FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:","FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:",,,
5,VALERIY MASLAKOV,000104,9231391,,UEAG,Petropavlovsk-Kamchatskiy,Russia,KM(*) L3 AUT3 fishing vessel,,Fishing,14/03/2003,Russia,521,,,606 MK-1969,181 MK-1969,348.000 t.,987 t.,42.24 m.,42.24 m.,36.90 m.,9.50 m.,6.88 m.,3.85 m.,10.5,Diesel,Built ME: 2000 Country Construction: United States of America The company has built ME: The number and power of ME: 1*920 Mark ME: Caterpillar 3512B DITA,,1 - Controllable pitch propeller,4,1* 262 2* 280,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 400,,,2,4,0,0,0,Р 1 - 2.4*2.4,,,161,Diesel oil,0 m3,,262,Cat2,28.0,"OOO ""RYBAK KOVRANA""  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, pr-t Tsiolkovskogo, 9/1 IMO: Email: ktf98@mail.ru Company Website:","ANTEY, LLC  Address: Russia, 690039 Vladivostok, ul. Eniseyskaya, d.23D, pom.7 (4 etazh). IMO: 1678615 Email: office@crabfish.ru Company Website:",,,
6,РБТ-102,120018,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) R3 tug,,Tug,12/12/1954,Russia,,,,21,6,8.000 t.,39 t.,14.25 m.,13.92 m.,13.15 m.,3.90 m.,2.22 m.,1.49 m.,9.0,Diesel,Built ME: 2003 Country Construction: Russia The company has built ME: The number and power of ME: 2*110 Mark ME:,,2 - Fixed pitched solid propeller,4,2* 2,,,,,"Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,0,0,0,,,,7,Diesel oil,0 m3,,0,Wire,0.0,"Public joint-stok company Shipbuilding plant ""Severnay verf""  Address: Russia, 198035 St.Petersburg, ul. Korabelnaya, d.6 IMO: Email: info@nordsy.spb.ru Company Website: www.nordsy.spb.ru","Public joint-stok company Shipbuilding plant ""Severnay verf""  Address: Russia, 198035 St.Petersburg, ul. Korabelnaya, d.6 IMO: Email: info@nordsy.spb.ru Company Website: www.nordsy.spb.ru",,,
7,БГК-326 РИФ,120028,,,,Bolshoy port of St.-Petersburg,Russia,(KM)* R3,,Tender,01/05/1990,,,,,35,0,22.000 t.,0 t.,21.21 m.,21.21 m.,0.00 m.,3.93 m.,2.26 m.,0.00 m.,10.5,Diesel,Built ME: 2001 Country Construction: Italy The company has built ME: The number and power of ME: 1*331 Mark ME: IVECO AIFO 8210 SRM 36,,1 - Fixed pitched solid propeller,4,1* 48,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""Rosmorport"", Federal State Unitery Enterprise  Address: Russia, 127055 Moscow, ul. Sushchevskaya, d. 19, str. 7 IMO: 5119485 Email: hq@rosmorport.ru Company Website: www.rosmorport.ru","""ROSMORPORT SPB BRANCH"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 198035 St.Petersburg, ul. Gapsalskaya, d. 8 IMO: Email: mail@spb.rosmorport.ru Company Website: www.rosmorport.ru",,
8,ЛОЦМАН ФЕДОРОВ,120035,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) L3 [1] R3,,Pilot,29/12/1990,,,,,84,0,14.000 t.,0 t.,23.10 m.,23.10 m.,0.00 m.,5.80 m.,2.80 m.,0.00 m.,12.0,Diesel,Built ME: 2001 Country Construction: Italy The company has built ME: The number and power of ME: 2*331 Mark ME: 8210SRM45,,0 - Fixed pitched solid propeller,0,1* 32,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,4,0,0,0,,,,0,,0 m3,,0,,0.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""ROSMORPORT SPB BRANCH"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 198035 St.Petersburg, ul. Gapsalskaya, d. 8 IMO: Email: mail@spb.rosmorport.ru Company Website: www.rosmorport.ru",,,
9,БОДРЫЙ,120048,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) R3,,Tender,05/09/1979,,,,,24,0,5.000 t.,0 t.,13.30 m.,13.30 m.,0.00 m.,3.96 m.,2.00 m.,0.00 m.,0.0,,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"MARINE FINANCIAL COMPANY LIMITED ""ZENIT""  Address: Russia, 190068 St.Petersburg, ulitsa Sadovaya 28/30, komnata 2-n IMO: Email: office@mfczenit.spb.ru; goncharov@baltport.spb.ru Company Website:",,,,
