Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
SHANS 104,888019,8904109,KOTOKU MARU NO.3,UBXW,Vladivostok,Russia,(KM)* fishing vessel,,Fishing,25/03/1989,Japan,1355,,,673 MK-1969,262 MK-1969,271.000 t.,958 t.,54.80 m.,54.80 m.,47.99 m.,8.60 m.,3.75 m.,3.45 m.,10.5,Diesel,Built ME: 1989 Country Construction: Japan The company has built ME: The number and power of ME: 1*735 Mark ME: LH28RG,,1 - Fixed pitched solid propeller,4,2* 280,,,-28,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,2* 570,,,1,4,,,,Р 1 - 2.0*2.0Р 1 - 1.0*1.6,,,253,Diesel oil,,,237,Cat1,30.0,"RYBOLOVETSKIY KOLKHOZ ""VOSTOK-1"", JOINT-STOCK COMPANY  Address: Russia, 690106 Vladivostok, pr. Krasnogo Znameni, d. 42 IMO: 1554266 Email: vostok1@vostok1.com Company Website:","RYBOLOVETSKIY KOLKHOZ ""VOSTOK-1"", JOINT-STOCK COMPANY  Address: Russia, 690106 Vladivostok, pr. Krasnogo Znameni, d. 42 IMO: 1554266 Email: vostok1@vostok1.com Company Website:",,,
PROMETEY,932936,9067001,RAVEN,UBJO5,Vanino,Russia,(KM)* fishing vessel,,Fishing,18/05/1993,Japan,1417,,,656 MK-1969,263 MK-1969,463.000 t.,1091 t.,58.00 m.,58.00 m.,51.30 m.,9.10 m.,3.96 m.,3.65 m.,12.9,Diesel,Built ME: 1993 Country Construction: Japan The company has built ME: The number and power of ME: 1*1177 Mark ME: 6M31AFTE,,1 - Fixed pitched solid propeller,4,2* 320,,,-28,R22,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,2* 706,,,1,5,,,,Р 1 - 1.9*1.9Р 1 - 1.0*1.9,,,294,Diesel oil,,,248,Cat1,30.0,"JSC TEFIDA  Address: Russia, 690002 Vladivostok, Okeanskiy prospekt, d. 131v, office 901 IMO: Email: tefida-vl@mail.ru Company Website:","JSC TEFIDA  Address: Russia, 690002 Vladivostok, Okeanskiy prospekt, d. 131v, office 901 IMO: Email: tefida-vl@mail.ru Company Website:",,,
YAMAL KRECHET,000462,9202041,ВВС RHEIDERLAND,UESM,Arkhangelsk,Russia,KM* Arc4 AUT1,,General cargo,01/01/2000,Germany,704,,,13066 MK-1969,6901 MK-1969,20144.000 t.,,153.22 m.,153.22 m.,145.75 m.,23.60 m.,13.50 m.,9.73 m.,17.0,Diesel,Built ME: 1999 Country Construction: Japan The company has built ME: The number and power of ME: 1*8250 Mark ME:,,1 - Fixed pitched solid propeller,5,2* 612,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Simplified voyage data recorder Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",5*25144,,,,1,7,,,,,,2*60.0 1*3.0 1*2.5,1065,"Diesel oil, Motor oil",6868 m3,ПТ,2230,Cat3,62.0,,"""SEVNOR MANAGEMENT"" LLC  Address: Russia, 101000 Moscow, pereul. Armyanskiy, d. 7, pom. XII, of. 5 IMO: 5827235 Email: office@sevnor.com; chetvertnykh@sevnor.com Company Website:",,"""SEVNOR MANAGEMENT"" LLC  Address: Russia, 101000 Moscow, pereul. Armyanskiy, d. 7, pom. XII, of. 5 IMO: 5827235 Email: office@sevnor.com; chetvertnykh@sevnor.com Company Website:","""SEVNOR MANAGEMENT"" LLC  Address: Russia, 101000 Moscow, pereul. Armyanskiy, d. 7, pom. XII, of. 5 IMO: 5827235 Email: office@sevnor.com; chetvertnykh@sevnor.com Company Website:"
РАДИСТ НЕСМЕЛОВА,120129,,,,Bolshoy port of St.-Petersburg,Russia,KM(*) C1 T0 pleasure yacht,,Pleasure yacht,12/04/1975,Russia,,,,59 MK-1969,17 MK-1969,10.000 t.,,21.40 m.,20.86 m.,19.00 m.,5.10 m.,2.62 m.,1.64 m.,12.0,Diesel,"Built ME: 1997 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*174 Mark ME: 3D6N-235",,1 - Fixed pitched solid propeller,4,1* 8,,,,,"Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF emergency position-indicating radio beacon with digital selective calling VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,,,,,,,3,Diesel oil,,,,Cat1,13.0,"PORT FLEET, JOINT-STOCK COMPANY  Address: Russia, 198035 St.Petersburg, Mezhevoy kanal, d. 5 IMO: 1843058 Email: sbm@portfleet.ru; info@portfleet.ru Company Website:",,,,
LENINETS,160286,9823912,,UBFQ4,Kaliningrad,Russia,KM(*) Ice3 AUT1 (REF) fishing vessel,,Fishing,19/09/2019,Russia,04001,,,1150 MK-1969,345 MK-1969,969.000 t.,2298 t.,50.60 m.,50.60 m.,44.53 m.,12.00 m.,7.50 m.,6.00 m.,12.7,Diesel,Built ME: 2016 Country Construction: Japan The company has built ME: The number and power of ME: 1*2210 Mark ME: 8EY26W,,1 - Controllable pitch propeller,4,1* 1100 2* 714,,(REF)*,+1,R717,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Radio station for life-saving craft Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,6* 780,,,2,7,,,,Р 3 - 1.0*1.0Р 3 - 0.6*0.6,,1*2.0 1*4.0 1*5.0,263,"Diesel oil, Motor oil",857 m3,ПТ,467,Cat2,34.0,"COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:",,
VASILIY KAPLYUK,160303,9836282,,UBZR9,Kaliningrad,Russia,KM(*) Ice3 AUT1 (REF) fishing vessel,,Fishing,01/12/2020,Russia,04003,,,1150 MK-1969,345 MK-1969,969.000 t.,2298 t.,50.60 m.,50.60 m.,43.60 m.,12.00 m.,7.50 m.,6.00 m.,12.7,Diesel,Built ME: 2016 Country Construction: Japan The company has built ME: The number and power of ME: 1*2210 Mark ME: 8EY26W,,1 - Controllable pitch propeller,4,1* 1100 2* 714,,(REF)*,+1,R717,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Radio station for life-saving craft Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,2,7,,,,Р 3 - 1.0*1.0Р 3 - 0.6*0.6,,,263,"Diesel oil, Motor oil",857 m3,ПТ,467,Cat2,34.0,"COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:",,
KOMANDOR,160290,9823924,,UBRR9,Kaliningrad,Russia,KM(*) Ice3 AUT1 (REF) fishing vessel,,Fishing,27/12/2019,Russia,04002,,,1150 MK-1969,345 MK-1969,969.000 t.,2298 t.,50.60 m.,50.60 m.,44.53 m.,12.00 m.,7.50 m.,6.00 m.,12.7,Diesel,"Built ME: 2017 Country Construction: Japan The company has built ME: YANMAR CO.,LTD The number and power of ME: 1*2210 Mark ME: 8EY26W",,1 - Controllable pitch propeller,4,1* 1100 2* 714,,(REF)*,+1,R717,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Radio station for life-saving craft Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,6* 780,,,2,7,,,,Р 3 - 1.0*1.0Р 3 - 0.6*0.6,,1*2.0 1*4.0 1*5.0,263,"Diesel oil, Motor oil",857 m3,,467,Cat2,34.0,"COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:","COLLECTIVE FARM FISHERY BY V.I.LENIN  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ulitsa Kosmonavtov, 40 IMO: 1536738 Email: role@kolhlen.kamchatka.ru Company Website:",,
П/К-1796,724321,,,,Petropavlovsk-Kamchatskiy,Russia,(K)* R3,,General cargo,01/01/1972,Russia,,,,57,17,90.000 t.,146 t.,24.80 m.,24.80 m.,23.81 m.,6.50 m.,2.20 m.,1.41 m.,,Non-propel,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,"OOO ""IVNING STAR""  Address: Russia, 688610 Kamchatskiy kray, Tigilskiy r-n, s. Usty-Khayryuzovo, ul. Shkolnaya 14A IMO: Email: eveningstar2@mail.ru Company Website:","OOO ""IVNING STAR""  Address: Russia, 688610 Kamchatskiy kray, Tigilskiy r-n, s. Usty-Khayryuzovo, ul. Shkolnaya 14A IMO: Email: eveningstar2@mail.ru Company Website:",,,
LENANEFT-2038,805618,8988662,,UBQC4,Vladivostok,Russia,"KM* Ice2 R2-RSN(4,5) oil tanker(ESP)",,Oil tanker,30/09/1980,Bulgaria,338,,,1988,596,2649.000 t.,3742 t.,108.59 m.,108.59 m.,102.44 m.,14.80 m.,4.40 m.,2.82 m.,10.5,Diesel,Built ME: 1980 Country Construction: Germany The company has built ME: The number and power of ME: 2*567 Mark ME: 6NVD 48A-2U,,2 - Fixed pitched solid propeller,4,2* 100 1* 50,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Satellite communication system Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus",,,10* 2887,,1,13,,,,,,,83,Diesel oil,1482 m3,,690,Cat1,40.0,"""Agrotek - TM"" LLC  Address: Russia, 129110 Moscow, ul. Shchepkina, 49 IMO: Email: Shein@lisor.ru Company Website:","VALKUR CO., LTD  Address: Russia, 690001 Vladivostok, ul. Ekipazhnaya, dom 1 IMO: 5700831 Email: office@valkur.ru Company Website:",,,
PYOTR SABLIN,160318,,,,Astrakhan,Russia,KE* R3 dredger,,Dredger,14/07/2016,Russia,401,,,280,84,139.000 t.,680 t.,61.20 m.,61.20 m.,47.30 m.,10.60 m.,2.78 m.,1.79 m.,,Non-propel,,,,,,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon NAVTEX receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,,,,,,,,73,Diesel oil,93 m3,,,Wire,36.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","""ROSMORPORT"", FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 414016 Astrakhany, ul. Kapitana Krasnova, d. 31 IMO: Email: rmp@astranet.ru Company Website:",,,
